"id","date","year","village","region","leaders_killed","leader_names","leader_description","militants_low","militants_high","militants_avg","unknown_low","unknown_high","unknown_avg","civilians_low","civilians_high","civilians_avg","total_low","total_high","total_avg","president","president_bush","president_obama","president_trump","target_type","target_description","target_organization_name","geo_lat","geo_lon","province","strike_type","notes_1","notes","_id_deprecated","sources_deprecated","source1_name","source1_url","source2_name","source2_url","source3_name","source3_url","source4_name","source4_url","source5_name","source5_url","source6_name","source6_url","source7_name","source7_url","sources_combined","militants_lowhigh","civilians_lowhigh","unknown_lowhigh","total_lowhigh"
"278","11/25/2018","2018",,"Al Bayda'","2",,,"4","4","4",,,,,,,"6","6","6","Trump","0","0","1","Unknown","Six suspected al Qaeda militants were killed in a drone strike near a suspected al Qaeda site in Al Bayda'  province. Two people believed to be local leaders of the group were killed in addition to four other militants.","AQAP","13.9889","45.5771","Al Bayda'","Drone Strike",,,,,"Reuters","https://www.reuters.com/article/us-yemen-security-al-qaeda/six-suspected-al-qaeda-militants-killed-in-yemen-drone-strike-idUSKCN1NU0OZ","Xinhua","http://www.xinhuanet.com/english/2018-11/25/c_137630795.htm",,,,,,,,,,,"<a href='https://www.reuters.com/article/us-yemen-security-al-qaeda/six-suspected-al-qaeda-militants-killed-in-yemen-drone-strike-idUSKCN1NU0OZ'>Reuters</a>, <a href='http://www.xinhuanet.com/english/2018-11/25/c_137630795.htm'>Xinhua</a>","4",,,"6"
"275","9/18/2018","2018",,"Al Bayda'",,,,,,,,,,,,,,,,"Trump","0","0","1","Unknown","According to CENTCOM, the United States conducted an air strike in Al Bayda, Yemen on 9/18. CENTCOM provided no further details on the strike",,"13.9866885","45.5653881","Al Bayda'","Air Strike",,,,,"CENTCOM","http://www.centcom.mil/MEDIA/PRESS-RELEASES/Press-Release-View/Article/1683907/centcom-updates-counterterrorism-strikes-in-yemen/",,,,,,,,,,,,,"<a href='http://www.centcom.mil/MEDIA/PRESS-RELEASES/Press-Release-View/Article/1683907/centcom-updates-counterterrorism-strikes-in-yemen/'>CENTCOM</a>",,,,
"274","9/9/2018","2018","Ahwar","Abyan ","1","Ali Shanna also known as Sameh Al Marmi","Field Commander - reporteldy right hand man to Galal Baleedi","4","4","4",,,,,,,"4","4","4","Trump","0","0","1","Unknown","Per an AFP report, an apparent United States drone strike killed four alleged AQAP militants including a field leader in the Abyan province.","AQAP","13.5219","46.7116","Abyan","Drone Strike",,,,,"TheDailyStar","http://www.dailystar.com.lb/News/Middle-East/2018/Sep-09/462887-suspected-us-drone-strike-kills-4-al-qaeda-members-in-yemen.ashx","Miami Herald","https://www.miamiherald.com/news/nation-world/article218091525.html","Pakistan Today","https://www.pakistantoday.com.pk/2018/09/09/suspected-us-drone-strike-kills-4-al-qaida-members-in-yemen/","The National","https://www.thenational.ae/world/mena/al-qaeda-commander-killed-by-us-drone-strike-in-yemen-1.768818","CENTCOM","http://www.centcom.mil/MEDIA/PRESS-RELEASES/Press-Release-View/Article/1683907/centcom-updates-counterterrorism-strikes-in-yemen/",,,,,"<a href='http://www.dailystar.com.lb/News/Middle-East/2018/Sep-09/462887-suspected-us-drone-strike-kills-4-al-qaeda-members-in-yemen.ashx'>TheDailyStar</a>, <a href='https://www.miamiherald.com/news/nation-world/article218091525.html'>Miami Herald</a>, <a href='https://www.pakistantoday.com.pk/2018/09/09/suspected-us-drone-strike-kills-4-al-qaida-members-in-yemen/'>Pakistan Today</a>, <a href='https://www.thenational.ae/world/mena/al-qaeda-commander-killed-by-us-drone-strike-in-yemen-1.768818'>The National</a>, <a href='http://www.centcom.mil/MEDIA/PRESS-RELEASES/Press-Release-View/Article/1683907/centcom-updates-counterterrorism-strikes-in-yemen/'>CENTCOM</a>","4",,,"4"
"271","8/14/2018","2018",,"Unknown",,,,,,,,,,,,,,,,"Trump","0","0","1","Unknown","In a press release emailed to New America, CENTCOM stated it conducted an air strike in Yemen on August 14, 2018. The press release did not provide information on where though in a larger list of strikes since May, listed the strikes as having been in Shabwah, Hadrawmawt, and Al Bayda","AQAP",,,"Unknown","Air Strike",,,,,"CENTCOM (Email to New America)",,,,,,,,,,,,,,"",,,,
"270","7/24/2018","2018",,"Hadramawt",,,,,,,,,,,,,,,,"Trump","0","0","1","Unknown","In an email to New America, CENTCOM confirmed conducting a strike against AQAP in Hadramawt on July 24.","AQAP","16.9343387","49.3032075","Hadramawt","Air Strike",,,,,"CENTCOM (Email to New America)",,,,,,,,,,,,,,"",,,,
"268","7/22/2018","2018","Rawda","Ma'rib","0",,,"4","4","4","0","0","0","0","0","0","4","4","4","Trump","0","0","1","House","Per an AFP report the U.S. conducted a drone strike on a house in Maarib that killed four militants according to officials in Maarib loyal to Yemen's internationally recognised government. In an email to New America, CENTCOM stated it did not conduct a strike in Marib over the weekend in question.","AQAP","16.1602341","44.7813563","Maarib","Drone Strike",,,,,"AFP","https://nation.com.pk/23-Jul-2018/10-jihadists-killed-in-yemen-drone-strike","Pakistan Today","https://www.pakistantoday.com.pk/2018/07/23/suspected-us-airstrike-kills-4-al-qaida-operatives-in-yemen/","CENTCOM (Email to New America)",,"AP","https://www.apnews.com/f784a6cd9b4241ff9121f0873eeb6ddd/Suspected-US-airstrike-kills-4-al-Qaida-operatives-in-Yemen",,,,,,,"<a href='https://nation.com.pk/23-Jul-2018/10-jihadists-killed-in-yemen-drone-strike'>AFP</a>, <a href='https://www.pakistantoday.com.pk/2018/07/23/suspected-us-airstrike-kills-4-al-qaida-operatives-in-yemen/'>Pakistan Today</a>, <a href='https://www.apnews.com/f784a6cd9b4241ff9121f0873eeb6ddd/Suspected-US-airstrike-kills-4-al-Qaida-operatives-in-Yemen'>AP</a>","4","0","0","4"
"269","7/22/2018","2018",,"Hadramawt",,,,,,,,,,,,,,,,"Trump","0","0","1","Unknown","In an email to New America, CENTCOM confirmed conduciting a strike against AQAP on July 22, 2018 in Hadramawt.","AQAP","16.9343386","49.3032076","Hadramawt","Air Strike",,,,,"CENTCOM (Email to New America)",,,,,,,,,,,,,,"",,,,
"267","7/6/2018","2018","Bayhan al Qisab","Shabwah","0",,,"7","7","7","0","0","0","0","0","0","7","7","7","Trump","0","0","1","Vehicle","In a report by the Associated Press, according to Yemeni tribal leaders, a suspected U.S. drone strike killed seven alleged al-Qaeda militants while driving towards the South. In a July 11th email to New America, CENTCOM stated it was aware of such reports but denied conducting the strike adding that CENTCOM has not cnducted a strike so far in July 2018.","AQAP","14.48","45.44","Shabwah","Drone Strike",,,,,"Washington Post","https://www.washingtonpost.com/","NDTV","https://www.ndtv.com/world-news/7-suspected-al-qaeda-fighters-killed-in-yemen-drone-strike-1879239","Associated Press","https://abcnews.go.com/International/wireStory/suspected-us-airstrike-kills-al-qaida-operatives-yemen-56409157","Xinhua","http://www.xinhuanet.com/english/2018-07/06/c_137306494.htm","CENTCOM (Email to New America)",,,,,,"<a href='https://www.washingtonpost.com/'>Washington Post</a>, <a href='https://www.ndtv.com/world-news/7-suspected-al-qaeda-fighters-killed-in-yemen-drone-strike-1879239'>NDTV</a>, <a href='https://abcnews.go.com/International/wireStory/suspected-us-airstrike-kills-al-qaida-operatives-yemen-56409157'>Associated Press</a>, <a href='http://www.xinhuanet.com/english/2018-07/06/c_137306494.htm'>Xinhua</a>","7","0","0","7"
"266","6/30/2018","2018","Unknown","Unknown",,,,,,,,,,,,,,,,"Trump","0","0","1","Unknown","In an email to New America on July 3rd, CENTCOM confirmed two air strikes in Yemen in June 2018. One on June 23rd and the other on June 30th. CENTCOM did not provide further details","Unknown",,,"Unknown","Air Strike",,,,,"CENTCOM (Email to New America)",,,,,,,,,,,,,,"",,,,
"265","6/23/2018","2018","Unknown","Unknown",,,,,,,,,,,,,,,,"Trump","0","0","1","Unknown","In an email to New America on July 3rd, CENTCOM confirmed two air strikes in Yemen in June 2018. One on June 23rd and the other on June 30th. CENTCOM did not provide further details","Unknown",,,"Unknown","Air Strike",,,,,"CENTCOM (Email to New America)",,,,,,,,,,,,,,"",,,,
